,Home->Tools->Power tools->Power tool accessories->Saw blades & accessories,Power tools,Atlas Uni Turbo 300mm,For the cutting of building materials,https://www.homebase.co.uk/atlas-uni-turbo-300mm_p488728,48.49,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1f88686f-8d98-422d-9598-a750109577ba.jpg,Unnamed: 7,488728
3574,Home->Bathrooms & Plumbing->Plumbing->Radiators->Heated towel rails->Chrome,Plumbing,Heating Style Square Towel Warmer 800 x 450mm - Chrome,The electric heating element has a safety feature which initiates in the event of a dry radiator operation. The electrical element is equipped with thermal fuse (double overheating protection) and temperature sensor and also offers frost protection (ANTIFREEZE). The advanced element will display warning indicators in the case of malfunction.,https://www.homebase.co.uk/heating-style-square-towel-warmer-800-x-450mm-chrome_p496168,169.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/75b03605-4914-4b55-9c11-988bb4a34616.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/bc5a6d47-7430-4114-855d-c60c6eb52539.jpg",,496168
3575,Home->Kitchens->Kitchen worktops->Solid surface worktops->Minerva->Grey crystal,Kitchen worktops,Minerva Grey Crystal Kitchen Sink Worktop - Acrylic Super Large Right Hand Bowl - 305 x 65 x 2.5cm,A full 2.5cm thickness kitchen worktop with colour throughout and a built in acrylic super large bowl. Edging not required.,https://www.homebase.co.uk/minerva-grey-crystal-kitchen-sink-worktop-acrylic-super-large-right-hand-bowl-305-x-65-x-2-5cm_p380590,1339.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/87156b06-e763-4548-95ee-4667bd4d485c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/eefa3af4-d5b6-46cc-b25b-c0f6f9da1afe.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f2e61ac3-a3f1-49a0-b792-783fd95f5bba.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/250c2d8c-ec11-4624-9c73-16acbb47337d.jpg",,380590
3576,Home->Paint & Decorating->Paint->Exterior paint->Exterior gloss & satin->Eggshell->750ml,Paint,Farrow & Ball Eco No.88 Lamp Room Gray - Exterior Eggshell Paint - 750ml,Farrow & Ball Eco Exterior Eggshell Paint is a durable and flexible reduced solvent paint.,https://www.homebase.co.uk/farrow-ball-eco-no-88-lamp-room-gray-exterior-eggshell-paint-750ml_p383989,28.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/101cb629-6d77-4d29-a257-694132eed23b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/11ca7449-5056-4d67-a149-22ca558e8046.jpg",,383989
3577,Home->Bathrooms & Plumbing->Plumbing->Radiators->Heated towel rails->Chrome,Plumbing,Balterley Electric Chrome Radiator - 690 x 500mm 200W,The high quality electric towel rail is supplied with a choice of prefitted heating elements.,https://www.homebase.co.uk/balterley-electric-chrome-radiator-690-x-500mm-200w_p501826,230.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/fa21d3f9-3c80-41e2-99cb-e5c841c6040c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/23c6b3f6-3aa9-4ac6-889d-585ec08d60d1.jpg",,501826
3578,Home->Kitchens->Kitchen worktops->Edging & joints,Kitchen worktops,Maia Vanilla Kitchen Worktop Edging Strip - 120 x 2.8cm,Vanilla is an elegant off white colour that looks great with a variety of kitchen designs.,https://www.homebase.co.uk/maia-vanilla-kitchen-worktop-edging-strip-120-x-2-8cm_p144048,39.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b097dc8a-7324-46b3-8047-4cba452bfe2e.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/27bf1009-0cb2-405a-a974-51752e5f4437.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f2a0989c-b820-4571-b71c-ff14a75cb773.jpg",,144048
3579,Home->Building & Hardware->Doors & door furniture->Hinges->Other hinges,Doors & door furniture,Counterflap Hinge - Satin Chrome - 32 x 100mm - 2 Pack,Satin chrome 32mm counterflap hinge - 2 pack.,https://www.homebase.co.uk/counterflap-hinge-satin-chrome-32-x-100mm-2-pack_p481582,6.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/efa458a2-d377-4e20-a39e-128859c375fa.jpg,,481582
3580,Home->Bathrooms & Plumbing->Plumbing->Radiators->Designer radiators,Plumbing,Balterley Embrace Cloakroom Radiator - 1800 x 236mm - Anthracite,"Ideal for rooms where space is at a premium, the compact Embrace range has inlets at the bottom saving valuable wall space at the sides of the radiator.",https://www.homebase.co.uk/balterley-embrace-cloakroom-radiator-1800-x-236mm-anthracite_p501915,255.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/7371d220-4a65-4545-ba76-177041eb6b2c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/70749c7d-f167-4da8-940d-92209a62177f.jpg",,501915
3581,Home->Tools->Power tools->Power tool accessories->Drill & driver bits,Power tools,Kango 10x160mm SDS+ Drill Bit K4P10160,Toughen up your SDS hammer drill with Kango K4 SDS+ drill bits!,https://www.homebase.co.uk/kango-10x160mm-sds-drill-bit-k4p10160_p397146,9.8,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/25e71d29-1804-4944-89a4-2c6cfbd96aa1.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2c9eb120-9500-4502-b791-b7c9c9807492.jpg",,397146
3582,Home->Garden & Outdoor->Garden buildings->Greenhouses & accessories->Greenhouses,Garden buildings,Palram Mythos Silver Greenhouse - 6 x 4ft,"Mythos greenhouse series merge practical design, high insulation, aesthetics and performance. The twin-wall Polycarbonate panels perfectly retain heat, diffuse light to protect from strong sunlight exposure and enhance the durability of the reinforced aluminum structure; these nurturing conditions are ideal for cold areas. Mythos greenhouses are easy to install with a sliding panel assembly system and include a galvanized steel base, a hinged door, as well as other features that enhance their usability. The greenhouses are capable of withstanding extreme weather conditions for many years of gardening use",https://www.homebase.co.uk/palram-mythos-silver-greenhouse-6-x-4ft_p340805,280.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e1277688-e006-446c-aa15-55e60dd65755.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/636fa3a8-0a54-461b-b861-5c7224e11f57.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/520fc605-eb34-4433-b489-46f45f2b5b4c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/680f66e9-ca72-490f-a7f8-6a242a4bd4df.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/da0ca6ab-380f-4cbe-b853-44165b1ae2f7.jpg",,340805
3583,Home->Building & Hardware->Doors & door furniture->Exterior doors->Front,Doors & door furniture,Cottage External Glazed Unfinished Hardwood 1 Lite Door - 813 x 2032mm,Cottage is a hardwood glazed external door with an elegant feel. It has a lead double glazed panel and raised moulding on one side for classic country Cottage styling. It also features mortice and tenon joints which give it a more traditional look and provide a solid door construction.,https://www.homebase.co.uk/cottage-external-glazed-unfinished-hardwood-1-lite-door-813-x-2032mm_p497674,249.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9001675a-d8b6-4c58-8c57-fc705817ca08.jpg,,497674
3584,Home->Bathrooms & Plumbing->Bathroom furniture suites->Duplex range,Bathroom furniture suites,Balterley Duplex 720mm Cabinet With Basin - Gloss White,"The White Gloss finish creates a clean, bright open space. ",https://www.homebase.co.uk/balterley-duplex-720mm-cabinet-with-basin-gloss-white_p504266,340.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/709f2c4a-e907-42f5-967c-21313f3d6bc1.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/412819bb-8774-442a-844f-eef6b3c3aa35.jpg",,504266
3585,Home->Building & Hardware->Doors & door furniture->Exterior doors->Front,Doors & door furniture,Cottage External Glazed Unfinished Oak 1 Lite Door - 813 x 2032mm,"A traditionally inspired external door in oak, this is an great choice for a Cottage or barn conversion. Made with a strong dowel construction for enduring quality, it also features a lead double glazed panel, light wood inlays and raised moulding on one side. In unfinished oak, so you can give it the look that works best with your property. ",https://www.homebase.co.uk/cottage-external-glazed-unfinished-oak-1-lite-door-813-x-2032mm_p497738,299.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ff6e808f-4a31-4bf6-b088-8c37bb44d1ae.jpg,,497738
3586,Home->Building & Hardware->Doors & door furniture->Exterior doors->French,Doors & door furniture,Model 4 French Door set and 2 Wide Sidelites - 2390mm Wide 2090mm High,"This French Door Set features clear glass, steel reinforced PVCu profiles, and a high security multipoint locking system with shoot bolts and adjustable hinges.",https://www.homebase.co.uk/model-4-french-door-set-and-2-wide-sidelites-2390mm-wide-2090mm-high_p033974,775.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/910cd672-6162-41a1-a8a8-7f28244e1a0e.jpg,,33974
3587,Home->Paint & Decorating->Paint->Interior paint->Metal and wood->Neutral paint->Gloss,Paint,Home of Colour Colombian Coffee - Non Drip Gloss Paint - 750ml,"Non Drip Gloss paint provides a hardwearing, high gloss finish with no drips.",https://www.homebase.co.uk/home-of-colour-colombian-coffee-non-drip-gloss-paint-750ml_p400109,11.99,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a6e432be-3755-44d2-9c8d-65c60da1483a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8baae4dd-dd82-431a-9599-2b8475ef7b60.jpg",,400109
3588,Home->Building & Hardware->Doors & door furniture->Interior doors->Glazed,Doors & door furniture,Vancouver Internal Glazed Walnut Laminate 1 Lite Door - 762 x 1981mm,"Walnut has such a warm personality, and the laminated Vancouver internal door takes this charm and gives it a modern twist. In the latest five-panel design for on-trend homes, this door also features a slim vertical clear glazed panel to introduce light into the space. A great value choice, the beauty of the laminated finish is that it gives you the look of a real veneer without the variations of natural wood. ",https://www.homebase.co.uk/vancouver-internal-glazed-walnut-laminate-1-lite-door-762-x-1981mm_p497597,249.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9af39bd0-ab5e-41b7-ab2d-ebc0187a2730.jpg,,497597
3589,Home->Paint & Decorating->Paint->Interior paint->Emulsion paint->Purple paint->Standard emulsion->2.5L,Paint,Farrow & Ball Estate No.254 Pelt - Matt Emulsion Paint - 2.5L,Farrow and Ball Estate Emulsion Paint has a chalky matt finish and unrivalled depth of colour. It is environmentally friendly with minimal VOCs.,https://www.homebase.co.uk/farrow-ball-estate-no-254-pelt-matt-emulsion-paint-2-5l_p754443,46.5,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a40a5da8-b94f-456f-8249-ecb89aae0a20.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/7482a269-ae5e-49e4-ad0d-b79600cd2cb5.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f28fb06e-4304-4efd-a0b8-730c0bae34d3.jpg",,754443
3590,Home->Paint & Decorating->Paint->Interior paint->Metal and wood->Neutral paint->Gloss,Paint,Dulux Timeless - Quick Dry Gloss - 750ml,"Dulux Quick Dry Gloss is self-undercoating, wipe able, non-yellowing and suitable for use on interior and exterior wood and metal, including radiators.",https://www.homebase.co.uk/dulux-timeless-quick-dry-gloss-750ml_p273067,18.99,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ba6a2d2f-7910-4967-849a-6dfea9f2423f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/aba2a8cc-c9e5-4e04-aa19-b89f709302e2.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/fe2099c7-cbfa-4866-aaa1-39c7fef96df3.jpg",,273067
3591,Home->Paint & Decorating->Paint->Exterior paint->Exterior gloss & satin->Eggshell->750ml,Paint,Farrow & Ball Eco No.32 Cooking Apple Green - Exterior Eggshell Paint - 750ml,Farrow & Ball Eco Exterior Eggshell Paint is a durable and flexible reduced solvent paint.,https://www.homebase.co.uk/farrow-ball-eco-no-32-cooking-apple-green-exterior-eggshell-paint-750ml_p177780,28.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/bbd33a18-b480-4cc5-b1a4-204d4d34895b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/c5ba0c10-b36b-468b-a2cc-2ffa27621d6b.jpg",,177780
3592,Home->Kitchens->Kitchen worktops->Solid surface worktops->Maia->Brazilian griege->Sink modules->42mm,Kitchen worktops,Maia Brazilian Greige Kitchen Sink Worktop - Universal Bowl - 180 x 60 x 4.2cm,Maia's Brazilian Greige kitchen worktop adds a lighter finish to your work surfaces. The soft brown and grey colouring creates a contemporary style that looks great above cream or white cabinets. This stainless steel single bowl module can be used in both right and left hand orientation.,https://www.homebase.co.uk/maia-brazilian-greige-kitchen-sink-worktop-universal-bowl-180-x-60-x-4-2cm_p462848,1249.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/0c9133b7-02d9-4ff7-bc0a-2c3eef1fa55d.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9180d880-f1ef-459d-bed7-32bd7cc8c4d6.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9f03af7e-8bce-4403-87e1-5eca8c2e868a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/50c49c1e-a1f1-480d-bf79-aae040d4debe.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/fa04a759-3eeb-47b3-bcca-2f7f1abff351.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/67bd8d2a-9e5c-489e-b001-02972092bbc5.jpg",,462848
3593,Home->Bathrooms & Plumbing->Bathroom furniture suites->Harrington range->Grey->Basin units,Bathroom furniture suites,Balterley Harrington 595mm 2 Door Unit With 3 Tap Hole Basin - Grey,Add a cool touch of colour to your bathroom with this traditional grey unit.,https://www.homebase.co.uk/balterley-harrington-595mm-2-door-unit-with-3-tap-hole-basin-grey_p504129,510.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/42eda825-235f-4e80-979e-1d1be5a40df8.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/c34898e8-0c3f-42d0-aaea-f891d9389fa5.jpg",,504129
3594,Home->Paint & Decorating->Paint->Specialist paint->Metal paint,Paint,Hammerite Direct To Rust Satin Black Metal Paint - 750ml,"Durable, corrosion resistant decorative coating for ferrous and non-ferrous metals, certain plastics and wood. This is a subtle satin smooth finish which provides a low sheen alternative to Hammerite Smooth Finish.",https://www.homebase.co.uk/hammerite-direct-to-rust-satin-black-metal-paint-750ml_p997798,19.59,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a2e9539c-e9c2-46cf-954b-3d9cfb096363.jpg,,997798
3595,Home->Paint & Decorating->Paint->Interior paint->Emulsion paint->Grey paint->Standard emulsion->2.5L,Paint,Craig & Rose 1829 Chalky Emulsion - Almost Grey - 2.5L,"Pure mineral grey with a vintage feel. Clean and minimal, it offers a good background for brighter colours. Use with 1829 Light Grey Undercoat.",https://www.homebase.co.uk/craig-rose-1829-chalky-emulsion-almost-grey-2-5l_p472698,35.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e746f88a-2dec-4e76-bf0e-822db72a58a3.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a55f4d3a-864e-4281-9df4-04c62c28bf21.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9ef0837d-d8a3-4a34-87ca-500ded5ca8aa.jpg",,472698
3596,"Home->Kitchens->Kitchen worktops->Solid surface worktops->Maia->Latte->Worktops, islands & breakfast bars->28mm",Kitchen worktops,Maia Latte Breakfast Bar U End - 180 x 90 x 2.8cm,"Latte is part of Maia's worktop range with a neutral tone. Slightly darker than Cappuccino but lighter than Mocha, this is ideal if you're looking for a shade somewhere in between.",https://www.homebase.co.uk/maia-latte-breakfast-bar-u-end-180-x-90-x-2-8cm_p143418,688.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/dce6a251-5a8c-4d73-8eee-9e4fd1c69584.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/0f308891-40e5-465a-ad45-6d9f6bb3388d.jpg",,143418
3597,Home->Bathrooms & Plumbing->Plumbing->Radiators->Heated towel rails->Other colours,Plumbing,Heating Style Joanna Towel Warmer 1200 x 500mm Silver,Choice of 3 high quality and very unique metallic finishes which will provide a stunning design statement.,https://www.homebase.co.uk/heating-style-joanna-towel-warmer-1200-x-500mm-silver_p496360,229.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/dbbc9276-94cf-4bce-a04f-c968e802d4fe.jpg,,496360
3598,Home->Building & Hardware->Doors & door furniture->Exterior doors->Front,Doors & door furniture,Cottage External Glazed White GRP 1 Lite Door - 813 x 2032mm,"A perfect addition to your Cottage or period-style home, this GRP external door is finished with a leaded double glazed panel. It's this detail that elevates the look, adding sophistication and a quality finish to this door. White is a classic colour, and will complement homes of all styles, whether you fit this as a front or back door.",https://www.homebase.co.uk/cottage-external-glazed-white-grp-1-lite-door-813-x-2032mm_p497489,329.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/600ad328-1343-499b-b979-8224ec3013f5.jpg,,497489
3599,Home->Paint & Decorating->Paint->Interior paint->Undercoats & primer->Undercoat,Paint,Weathershield Pure Brilliant White - Exterior Quick Drying UnderCoat - 750ml,"This flexible, quick drying undercoat is specially formulated to resist cracking, providing the perfect key for the top coat.",https://www.homebase.co.uk/weathershield-pure-brilliant-white-exterior-quick-drying-undercoat-750ml_p633796,22.48,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/205938fc-c208-42c6-b52d-03554eae0b3b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e3271c6e-deac-489f-99d9-6645b76ca1dd.jpg",,633796
3600,Home->Paint & Decorating->Paint->Interior paint->Emulsion paint->Grey paint->Standard emulsion->2.5L,Paint,Farrow & Ball Modern Emulsion Mole's Breath No. 276 - 2.5L,"A high performance finish for interior walls and ceilings. Recommended for kitchens, bathrooms, hallways and high traffic areas. Washable & wipeable.",https://www.homebase.co.uk/farrow-ball-modern-emulsion-mole-s-breath-no-276-2-5l_p246086,46.5,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2f1032e9-f50b-40a7-b975-6b692b2ee45c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/377d6bf0-f8c8-42cc-9b98-85c1d43bf6ce.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5c2d894c-fc05-4dbe-a893-f6ee9b0756b9.jpg",,246086
3601,Home->Bathrooms & Plumbing->Plumbing->Radiators->Designer radiators,Plumbing,Balterley Harrington Triple Radiator - 600 x 1011mm - High Gloss White,"Add a classic feature to your room with this high gloss, timeless radiator.",https://www.homebase.co.uk/balterley-harrington-triple-radiator-600-x-1011mm-high-gloss-white_p501945,376.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/aca5ad6c-dc37-4c73-b29f-282145a8ac46.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4b963fa2-1ceb-4be9-a256-818d5ed57e3e.jpg",,501945
3602,Home->Paint & Decorating->Paint->Interior paint->Emulsion paint->Grey paint->Standard emulsion->2.5L,Paint,Farrow & Ball Modern No.242 Pavilion Gray - Emulsion Paint - 2.5L,"Farrow and Ball Modern Emulsion Paint is washable, stain and scuff resistant making it ideal for kitchens, bathrooms and high traffic areas.",https://www.homebase.co.uk/farrow-ball-modern-no-242-pavilion-gray-emulsion-paint-2-5l_p222983,46.5,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/628dee64-13b9-4573-80db-ddfb1abe7061.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/bc017b5d-5f0f-407a-8a67-61af324760df.jpg",,222983
3603,Home->Bathrooms & Plumbing->Bathroom furniture suites->Dynamic range->Gloss grey,Bathroom furniture suites,Balterley Dynamic 1500mm Left Hand WC Combination Unit - Gloss Grey,"If you prefer a more modern finish in your bathroom, why not opt for our fitted furniture in high gloss grey to add a contemporary twist. ",https://www.homebase.co.uk/balterley-dynamic-1500mm-left-hand-wc-combination-unit-gloss-grey_p503942,760.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/c69bf40b-868b-4462-a535-cdb2feb7e089.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f344f098-4bc3-408f-89a7-a37770b3cdd6.jpg",,503942
3604,Home->Garden & Outdoor->Garden buildings->Sheds->Shed bases,Garden buildings,Ecobase 5ft x 3ft or 6ft x 3ft Fastfit Garden Building Base Kit,"A base kit made from honeycomb grids of recycled plastics to form a firm, strong, long-lasting and well-drained foundation for an array of garden buildings.",https://www.homebase.co.uk/ecobase-5ft-x-3ft-or-6ft-x-3ft-fastfit-garden-building-base-kit_p427072,79.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f0a2bc31-ad4c-44ef-bb8c-a8374db23515.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/214f39c7-f484-4a66-8cd7-44657d13225e.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ffcd9167-2c91-41ce-8d2c-ed58ebfaf1c6.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f0368202-0ae7-4065-b40c-4b722d222f4a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9319ee11-10bd-40af-974a-0a24e5750f79.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b4339acc-80ac-429f-af07-d8dda47e0ee6.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2fbedab5-5b68-48e8-a9a4-b4bfa9142953.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/6ecb7ee1-28bd-4612-b176-b3bf58add21c.jpg",,427072
3605,Home->Bathrooms & Plumbing->Plumbing->Radiators->Heated towel rails->Other colours,Plumbing,Heating Style Joanna Towel Warmer 1200 x 500mm Gold,Choice of 3 high quality and very unique metallic finishes which will provide a stunning design statement.,https://www.homebase.co.uk/heating-style-joanna-towel-warmer-1200-x-500mm-gold_p496358,229.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1873be63-be6f-4ecc-9800-4308e5b30e52.jpg,,496358
